date,time,value
2024-04-22,20:03:40,190
2024-04-22,20:03:41,52
2024-04-22,20:03:41,55
2024-04-22,20:03:44,50
2024-04-22,20:03:45,48
2024-04-22,20:03:46,50
2024-04-22,20:03:47,52
2024-04-22,20:03:58,193
2024-04-22,20:03:58,187
2024-04-22,20:03:59,178
2024-04-22,20:04:00,142
2024-04-22,20:04:03,122
2024-04-22,20:04:09,38
2024-04-22,20:04:11,39
2024-04-22,20:04:11,41
2024-04-22,20:04:12,44
2024-04-22,20:04:13,48
2024-04-22,20:04:13,51
2024-04-22,20:04:14,56
2024-04-22,20:04:15,59
2024-04-22,20:04:15,66
2024-04-22,20:04:17,63
2024-04-22,20:04:18,66
2024-04-22,20:04:19,67
2024-04-22,20:04:20,69
2024-04-22,20:04:21,67
2024-04-22,20:04:22,70
2024-04-22,20:04:22,69
2024-04-22,20:04:23,71
2024-04-22,20:04:24,73
2024-04-22,20:04:24,109
2024-04-22,20:04:25,131
2024-04-22,20:04:25,141
2024-04-22,20:04:26,160
2024-04-22,20:04:26,161
2024-04-22,20:04:27,172
2024-04-22,20:04:27,169
2024-04-22,20:04:28,166
2024-04-22,20:04:28,171
2024-04-22,20:04:29,157
2024-04-22,20:04:29,163
2024-04-22,20:04:30,161
2024-04-22,20:04:31,150
2024-04-22,20:04:31,140
2024-04-22,20:04:32,132
2024-04-22,20:04:33,122
2024-04-22,20:04:33,114
2024-04-22,20:04:34,105
2024-04-22,20:04:34,104
2024-04-22,20:04:35,100
2024-04-22,20:04:36,94
2024-04-22,20:04:36,93
2024-04-22,20:04:37,92
2024-04-22,20:04:38,91
2024-04-22,20:04:39,92
2024-04-22,20:04:40,91
2024-04-22,20:04:41,90
2024-04-22,20:04:42,88
2024-04-22,20:04:43,87
2024-04-22,20:04:43,86
2024-04-22,20:04:45,85
2024-04-22,20:04:46,84
2024-04-22,20:04:47,83
2024-04-22,20:04:48,84
2024-04-22,20:04:49,85
2024-04-22,20:04:49,87
2024-04-22,20:04:50,88
2024-04-22,20:04:51,89
2024-04-22,20:04:52,88
2024-04-22,20:04:52,85
2024-04-22,20:04:53,83
2024-04-22,20:04:54,82
2024-04-22,20:04:55,81
2024-04-22,20:04:56,79
2024-04-22,20:04:57,77
2024-04-22,20:04:57,76
2024-04-22,20:04:58,75
2024-04-22,20:04:59,74
2024-04-22,20:05:00,75
2024-04-22,20:05:00,76
2024-04-22,20:05:01,77
2024-04-22,20:05:02,78
2024-04-22,20:05:06,77
2024-04-22,20:05:07,76
2024-04-22,20:05:11,75
2024-04-22,20:05:12,76
2024-04-22,20:05:13,75
2024-04-22,20:05:15,74
2024-04-22,20:05:16,75
2024-04-22,20:05:18,74
2024-04-22,20:05:19,75
2024-04-22,20:05:20,74
2024-04-22,20:05:21,75
2024-04-22,20:05:22,76
2024-04-22,20:05:24,75
2024-04-22,20:05:26,76
2024-04-22,20:05:27,77
2024-04-22,20:05:29,78
2024-04-22,20:05:30,79
2024-04-22,20:05:31,81
2024-04-22,20:05:31,83
2024-04-22,20:05:32,84
2024-04-22,20:05:34,83
2024-04-22,20:05:35,81
2024-04-22,20:05:36,80
2024-04-22,20:05:38,79
2024-04-22,20:05:38,78
2024-04-22,20:05:39,77
2024-04-22,20:05:43,78
2024-04-22,20:05:44,79
2024-04-22,20:05:44,80
2024-04-22,20:05:46,79
2024-04-22,20:05:47,78
2024-04-22,20:05:48,79
2024-04-22,20:05:49,80
2024-04-22,20:05:50,81
2024-04-22,20:05:51,80
2024-04-22,20:05:52,81
2024-04-22,20:05:53,82
2024-04-22,20:05:55,81
2024-04-22,20:05:56,82
2024-04-22,20:05:56,81
2024-04-22,20:05:58,80
2024-04-22,20:05:59,79
2024-04-22,20:06:01,78
2024-04-22,20:06:04,77
2024-04-22,20:06:09,78
2024-04-22,20:06:11,79
2024-04-22,20:06:12,80
2024-04-22,20:06:15,81
2024-04-22,20:06:15,80
2024-04-22,20:06:26,79
2024-04-22,20:06:27,78
2024-04-22,20:06:29,77
2024-04-22,20:06:30,78
2024-04-22,20:06:31,79
2024-04-22,20:06:32,80
2024-04-22,20:06:33,81
2024-04-22,20:06:34,82
2024-04-22,20:06:35,83
2024-04-22,20:06:36,84
2024-04-22,20:06:38,83
2024-04-22,20:06:40,84
2024-04-22,20:06:40,83
2024-04-22,20:06:41,84
2024-04-22,20:06:42,85
2024-04-22,20:06:42,86
2024-04-22,20:06:43,87
2024-04-22,20:06:44,88
2024-04-22,20:06:44,89
2024-04-22,20:06:45,90
2024-04-22,20:06:46,89
2024-04-22,20:06:47,86
2024-04-22,20:06:48,84
2024-04-22,20:06:49,82
2024-04-22,20:06:50,80
2024-04-22,20:06:51,79
2024-04-22,20:06:51,78
2024-04-22,20:06:52,77
2024-04-22,20:06:53,76
2024-04-22,20:06:54,77
2024-04-22,20:06:57,76
2024-04-22,20:06:58,75
2024-04-22,20:06:59,73
2024-04-22,20:07:00,72
2024-04-22,20:07:04,71
2024-04-22,20:07:06,72
2024-04-22,20:07:08,73
2024-04-22,20:07:08,74
2024-04-22,20:07:10,75
2024-04-22,20:07:11,76
2024-04-22,20:07:12,77
2024-04-22,20:07:14,78
2024-04-22,20:07:21,79
2024-04-22,20:07:24,80
2024-04-22,20:07:24,81
2024-04-22,20:07:29,82
2024-04-22,20:07:33,83
2024-04-22,20:07:34,82
2024-04-22,20:07:35,81
2024-04-22,20:07:36,80
2024-04-22,20:07:37,79
2024-04-22,20:07:40,78
2024-04-22,20:07:41,79
2024-04-22,20:07:42,80
2024-04-22,20:07:43,81
2024-04-22,20:07:44,83
2024-04-22,20:07:45,81
2024-04-22,20:07:47,80
2024-04-22,20:07:49,79
2024-04-22,20:07:52,78
2024-04-22,20:07:52,80
2024-04-22,20:07:53,81
2024-04-22,20:07:55,82
2024-04-22,20:07:55,83
2024-04-22,20:07:56,84
2024-04-22,20:07:59,88
2024-04-22,20:08:00,92
2024-04-22,20:08:00,98
2024-04-22,20:08:01,103
2024-04-22,20:08:01,102
2024-04-22,20:08:02,106
2024-04-22,20:08:02,114
2024-04-22,20:08:03,117
2024-04-22,20:08:04,116
2024-04-22,20:08:05,111
2024-04-22,20:08:05,105
2024-04-22,20:08:06,98
2024-04-22,20:08:07,92
2024-04-22,20:08:08,91
2024-04-22,20:08:09,89
2024-04-22,20:08:09,100
2024-04-22,20:08:10,101
2024-04-22,20:08:11,98
2024-04-22,20:08:12,97
2024-04-22,20:08:13,96
2024-04-22,20:08:15,93
2024-04-22,20:08:15,89
2024-04-22,20:08:16,84
2024-04-22,20:08:17,78
2024-04-22,20:08:18,77
2024-04-22,20:08:20,76
2024-04-22,20:08:25,77
2024-04-22,20:08:27,78
2024-04-22,20:08:28,79
2024-04-22,20:08:28,80
2024-04-22,20:08:29,81
2024-04-22,20:08:30,86
2024-04-22,20:08:30,91
2024-04-22,20:08:34,90
2024-04-22,20:08:35,89
2024-04-22,20:08:37,84
2024-04-22,20:08:37,80
2024-04-22,20:08:39,81
2024-04-22,20:08:41,82
2024-04-22,20:08:41,84
2024-04-22,20:08:42,82
2024-04-22,20:08:45,81
2024-04-22,20:08:46,80
2024-04-22,20:08:47,79
2024-04-22,20:08:48,78
2024-04-22,20:08:49,77
2024-04-22,20:08:49,75
2024-04-22,20:08:50,77
2024-04-22,20:08:57,76
2024-04-22,20:08:59,78
2024-04-22,20:09:00,82
2024-04-22,20:09:00,83
2024-04-22,20:09:02,85
2024-04-22,20:09:04,86
2024-04-22,20:09:07,83
2024-04-22,20:09:07,79
2024-04-22,20:09:10,80
2024-04-22,20:09:12,81
2024-04-22,20:09:13,82
2024-04-22,20:09:14,86
2024-04-22,20:09:14,91
2024-04-22,20:09:15,97
2024-04-22,20:09:15,102
2024-04-22,20:09:16,100
2024-04-22,20:09:16,99
2024-04-22,20:09:20,96
2024-04-22,20:09:20,92
2024-04-22,20:09:21,88
2024-04-22,20:09:22,86
2024-04-22,20:09:22,89
2024-04-22,20:09:23,91
2024-04-22,20:09:23,92
2024-04-22,20:09:24,94
2024-04-22,20:09:25,95
2024-04-22,20:09:25,101
2024-04-22,20:09:26,107
2024-04-22,20:09:26,106
2024-04-22,20:09:27,107
2024-04-22,20:09:27,114
2024-04-22,20:09:28,117
2024-04-22,20:09:28,120
2024-04-22,20:09:29,121
2024-04-22,20:09:29,136
2024-04-22,20:09:30,131
2024-04-22,20:09:30,140
2024-04-22,20:09:31,148
2024-04-22,20:09:31,144
2024-04-22,20:09:32,148
2024-04-22,20:09:32,155
2024-04-22,20:09:33,160
2024-04-22,20:09:34,154
2024-04-22,20:09:34,146
2024-04-22,20:09:35,137
2024-04-22,20:09:36,127
2024-04-22,20:09:37,121
2024-04-22,20:09:37,116
2024-04-22,20:09:38,109
2024-04-22,20:09:39,104
2024-04-22,20:09:40,96
2024-04-22,20:09:40,92
2024-04-22,20:09:41,90
2024-04-22,20:09:42,86
2024-04-22,20:09:43,83
2024-04-22,20:09:44,81
2024-04-22,20:09:44,80
2024-04-22,20:09:45,78
2024-04-22,20:09:46,77
2024-04-22,20:09:47,78
2024-04-22,20:09:48,76
2024-04-22,20:09:49,75
2024-04-22,20:09:50,76
2024-04-22,20:09:51,77
2024-04-22,20:09:52,76
2024-04-22,20:09:54,77
2024-04-22,20:09:55,75
2024-04-22,20:09:55,74
2024-04-22,20:09:56,76
2024-04-22,20:09:57,77
2024-04-22,20:09:58,76
2024-04-22,20:09:59,77
2024-04-22,20:10:00,81
2024-04-22,20:10:00,85
2024-04-22,20:10:01,90
2024-04-22,20:10:01,96
2024-04-22,20:10:02,94
2024-04-22,20:10:03,93
2024-04-22,20:10:06,92
2024-04-22,20:10:07,86
2024-04-22,20:10:07,80
2024-04-22,20:10:08,75
2024-04-22,20:10:09,72
2024-04-22,20:10:10,74
2024-04-22,20:10:11,73
2024-04-22,20:10:12,74
2024-04-22,20:10:13,75
2024-04-22,20:10:14,74
2024-04-22,20:10:15,75
2024-04-22,20:10:16,76
2024-04-22,20:10:17,75
2024-04-22,20:10:19,76
2024-04-22,20:10:19,75
2024-04-22,20:10:22,76
2024-04-22,20:10:23,75
2024-04-22,20:10:24,76
2024-04-22,20:10:25,77
2024-04-22,20:10:28,78
2024-04-22,20:10:29,79
2024-04-22,20:10:30,82
2024-04-22,20:10:30,88
2024-04-22,20:10:31,104
2024-04-22,20:10:31,113
2024-04-22,20:10:32,131
2024-04-22,20:10:32,146
2024-04-22,20:10:33,148
2024-04-22,20:10:33,154
2024-04-22,20:10:34,161
2024-04-22,20:10:34,146
2024-04-22,20:10:35,130
2024-04-22,20:10:36,116
2024-04-22,20:10:37,105
2024-04-22,20:10:37,101
2024-04-22,20:10:38,94
2024-04-22,20:10:39,87
2024-04-22,20:10:40,86
2024-04-22,20:10:40,83
2024-04-22,20:10:41,78
2024-04-22,20:10:42,77
2024-04-22,20:10:46,78
2024-04-22,20:10:50,77
2024-04-22,20:10:50,78
2024-04-22,20:10:55,77
2024-04-22,20:11:00,78
2024-04-22,20:11:00,81
2024-04-22,20:11:01,85
2024-04-22,20:11:01,97
2024-04-22,20:11:02,95
2024-04-22,20:11:03,98
2024-04-22,20:11:03,97
2024-04-22,20:11:04,98
2024-04-22,20:11:06,97
2024-04-22,20:11:07,93
2024-04-22,20:11:07,88
2024-04-22,20:11:08,84
2024-04-22,20:11:09,79
2024-04-22,20:11:09,81
2024-04-22,20:11:10,80
2024-04-22,20:11:11,81
2024-04-22,20:11:12,82
2024-04-22,20:11:14,83
2024-04-22,20:11:15,84
2024-04-22,20:11:19,85
2024-04-22,20:11:20,84
2024-04-22,20:11:21,83
2024-04-22,20:11:22,82
2024-04-22,20:11:23,80
2024-04-22,20:11:27,83
2024-04-22,20:11:27,89
2024-04-22,20:11:28,101
2024-04-22,20:11:28,102
2024-04-22,20:11:29,104
