date,time,value
2024-03-08,23:21:30,204
2024-03-08,23:21:31,210
2024-03-08,23:21:32,208
2024-03-08,23:21:32,210
2024-03-08,23:21:33,214
2024-03-08,23:21:33,216
2024-03-08,23:21:34,215
2024-03-08,23:21:35,168
2024-03-08,23:21:36,153
2024-03-08,23:21:36,149
2024-03-08,23:21:37,147
2024-03-08,23:21:37,151
2024-03-08,23:21:38,152
2024-03-08,23:21:38,188
2024-03-08,23:21:39,219
2024-03-08,23:21:39,225
2024-03-08,23:21:40,224
2024-03-08,23:21:40,221
2024-03-08,23:21:41,223
2024-03-08,23:21:41,227
2024-03-08,23:21:43,199
2024-03-08,23:21:43,190
2024-03-08,23:21:44,191
2024-03-08,23:21:44,190
2024-03-08,23:21:45,189
2024-03-08,23:21:45,188
2024-03-08,23:21:46,224
2024-03-08,23:21:46,226
2024-03-08,23:21:47,223
2024-03-08,23:21:50,217
2024-03-08,23:21:51,215
2024-03-08,23:21:51,217
2024-03-08,23:21:52,209
2024-03-08,23:21:53,210
2024-03-08,23:21:53,212
2024-03-08,23:21:54,216
2024-03-08,23:21:54,215
2024-03-08,23:21:55,226
2024-03-08,23:21:55,225
2024-03-08,23:21:56,224
2024-03-08,23:21:56,218
2024-03-08,23:21:57,222
2024-03-08,23:21:58,223
2024-03-08,23:21:59,169
2024-03-08,23:22:00,151
2024-03-08,23:22:00,147
2024-03-08,23:22:01,148
2024-03-08,23:22:01,147
2024-03-08,23:22:02,186
2024-03-08,23:22:03,215
2024-03-08,23:22:04,198
2024-03-08,23:22:04,194
2024-03-08,23:22:05,193
2024-03-08,23:22:05,191
2024-03-08,23:22:06,203
2024-03-08,23:22:07,207
2024-03-08,23:22:07,213
2024-03-08,23:22:08,204
2024-03-08,23:22:12,127
2024-03-08,23:22:12,133
2024-03-08,23:22:13,142
2024-03-08,23:22:13,156
2024-03-08,23:22:14,174
2024-03-08,23:22:14,198
2024-03-08,23:22:15,214
2024-03-08,23:22:15,222
2024-03-08,23:22:16,221
2024-03-08,23:22:16,223
2024-03-08,23:22:17,201
2024-03-08,23:22:18,193
2024-03-08,23:22:19,196
2024-03-08,23:22:19,198
2024-03-08,23:22:20,193
2024-03-08,23:22:20,188
2024-03-08,23:22:21,217
2024-03-08,23:22:22,218
2024-03-08,23:22:22,209
2024-03-08,23:22:23,215
2024-03-08,23:22:23,218
2024-03-08,23:22:25,217
2024-03-08,23:22:25,222
2024-03-08,23:22:26,207
2024-03-08,23:22:26,209
2024-03-08,23:22:27,204
2024-03-08,23:22:27,205
2024-03-08,23:22:28,212
2024-03-08,23:22:28,227
2024-03-08,23:22:29,224
2024-03-08,23:22:30,227
2024-03-08,23:22:30,225
2024-03-08,23:22:32,176
2024-03-08,23:22:32,159
2024-03-08,23:22:33,155
2024-03-08,23:22:35,102
2024-03-08,23:22:37,86
2024-03-08,23:22:40,121
2024-03-08,23:22:41,126
2024-03-08,23:22:41,139
2024-03-08,23:22:42,156
2024-03-08,23:22:43,173
2024-03-08,23:22:43,196
2024-03-08,23:22:44,218
2024-03-08,23:22:44,217
2024-03-08,23:22:45,215
2024-03-08,23:22:45,222
2024-03-08,23:22:46,226
2024-03-08,23:22:46,225
2024-03-08,23:22:47,222
2024-03-08,23:22:47,225
2024-03-08,23:22:48,223
2024-03-08,23:22:48,222
2024-03-08,23:22:49,220
2024-03-08,23:22:51,168
2024-03-08,23:22:51,150
2024-03-08,23:22:52,145
2024-03-08,23:22:52,146
2024-03-08,23:22:53,136
2024-03-08,23:22:57,220
2024-03-08,23:22:57,216
2024-03-08,23:22:58,220
2024-03-08,23:22:58,222
2024-03-08,23:22:59,212
2024-03-08,23:22:59,213
2024-03-08,23:23:00,218
2024-03-08,23:23:01,207
2024-03-08,23:23:01,192
2024-03-08,23:23:02,201
2024-03-08,23:23:02,193
2024-03-08,23:23:04,138
2024-03-08,23:23:05,121
2024-03-08,23:23:07,97
2024-03-08,23:23:10,144
2024-03-08,23:23:11,147
2024-03-08,23:23:11,160
2024-03-08,23:23:12,182
2024-03-08,23:23:12,192
2024-03-08,23:23:13,202
2024-03-08,23:23:14,218
2024-03-08,23:23:14,216
2024-03-08,23:23:15,215
2024-03-08,23:23:15,230
2024-03-08,23:23:16,194
2024-03-08,23:23:17,183
2024-03-08,23:23:17,184
2024-03-08,23:23:18,169
2024-03-08,23:23:19,144
2024-03-08,23:23:20,135
2024-03-08,23:23:20,133
2024-03-08,23:23:21,153
2024-03-08,23:23:21,163
2024-03-08,23:23:22,165
2024-03-08,23:23:22,197
2024-03-08,23:23:23,215
2024-03-08,23:23:23,201
2024-03-08,23:23:25,152
2024-03-08,23:23:26,135
2024-03-08,23:23:29,153
2024-03-08,23:23:29,158
2024-03-08,23:23:30,160
2024-03-08,23:23:30,172
2024-03-08,23:23:31,188
2024-03-08,23:23:32,203
2024-03-08,23:23:32,212
2024-03-08,23:23:33,229
2024-03-08,23:23:33,225
2024-03-08,23:23:34,228
2024-03-08,23:23:34,223
2024-03-08,23:23:35,228
2024-03-08,23:23:35,227
2024-03-08,23:23:36,223
2024-03-08,23:23:36,217
2024-03-08,23:23:37,218
2024-03-08,23:23:38,216
2024-03-08,23:23:38,214
2024-03-08,23:23:39,221
2024-03-08,23:23:39,224
2024-03-08,23:23:40,223
2024-03-08,23:23:40,226
2024-03-08,23:23:41,221
2024-03-08,23:23:41,224
2024-03-08,23:23:42,223
2024-03-08,23:23:43,218
2024-03-08,23:23:43,222
2024-03-08,23:23:44,215
2024-03-08,23:23:44,212
2024-03-08,23:23:45,215
2024-03-08,23:23:45,218
2024-03-08,23:23:46,216
2024-03-08,23:23:46,220
2024-03-08,23:23:47,219
2024-03-08,23:23:47,215
2024-03-08,23:23:48,218
2024-03-08,23:23:49,184
2024-03-08,23:23:50,174
2024-03-08,23:23:50,172
2024-03-08,23:23:51,174
2024-03-08,23:23:51,167
2024-03-08,23:23:52,166
2024-03-08,23:23:52,194
2024-03-08,23:23:53,215
2024-03-08,23:23:53,214
2024-03-08,23:23:54,220
2024-03-08,23:23:55,224
2024-03-08,23:23:55,221
2024-03-08,23:23:56,223
2024-03-08,23:23:56,202
2024-03-08,23:23:57,206
2024-03-08,23:23:57,200
2024-03-08,23:23:58,201
