time,value
2024-03-16T21:11:51.968565525Z,95
2024-03-16T21:11:52.798704615Z,88
2024-03-16T21:11:53.418460771Z,84
2024-03-16T21:11:54.416431487Z,82
2024-03-16T21:11:55.114397311Z,81
2024-03-16T21:11:56.561293384Z,80
2024-03-16T21:11:57.296842286Z,79
2024-03-16T21:11:58.323021034Z,76
2024-03-16T21:11:59.967877465Z,75
2024-03-16T21:12:01.572767737Z,73
2024-03-16T21:12:02.326286667Z,76
2024-03-16T21:12:03.952564739Z,73
2024-03-16T21:12:04.870922058Z,72
2024-03-16T21:12:05.718226711Z,71
2024-03-16T21:12:06.414522804Z,74
2024-03-16T21:12:07.116907699Z,75
2024-03-16T21:12:07.62050363Z,79
2024-03-16T21:12:08.124741648Z,84
2024-03-16T21:12:08.844549644Z,82
2024-03-16T21:12:10.136478026Z,76
2024-03-16T21:12:12.434639756Z,63
2024-03-16T21:12:13.893052261Z,60
2024-03-16T21:12:24.128377287Z,82
2024-03-16T21:12:24.784506474Z,83
2024-03-16T21:12:25.320725549Z,87
2024-03-16T21:12:26.406477486Z,81
2024-03-16T21:12:32.291724197Z,47
2024-03-16T21:12:37.870389106Z,52
2024-03-16T21:12:38.711809469Z,53
2024-03-16T21:12:39.284702832Z,56
2024-03-16T21:12:39.810392639Z,61
2024-03-16T21:12:40.315617347Z,73
2024-03-16T21:12:40.834442474Z,80
2024-03-16T21:12:41.352099309Z,92
2024-03-16T21:12:41.971255032Z,94
2024-03-16T21:12:42.552504708Z,103
2024-03-16T21:12:43.96846112Z,98
2024-03-16T21:12:45.346622295Z,99
2024-03-16T21:12:47.194766225Z,79
2024-03-16T21:12:48.290705042Z,72
2024-03-16T21:12:49.142344738Z,68
2024-03-16T21:12:50.246524686Z,62
2024-03-16T21:12:50.912377294Z,60
2024-03-16T21:12:51.452608096Z,63
2024-03-16T21:12:55.524993429Z,56
2024-03-16T21:12:57.376634264Z,49
2024-03-16T21:12:58.496504883Z,53
2024-03-16T21:12:59.192426792Z,55
2024-03-16T21:13:00.844963687Z,56
2024-03-16T21:13:01.416607811Z,57
2024-03-16T21:13:02.224770048Z,59
2024-03-16T21:13:02.737586789Z,66
2024-03-16T21:13:03.24674561Z,82
2024-03-16T21:13:03.746355462Z,95
2024-03-16T21:13:04.254388973Z,105
2024-03-16T21:13:05.81486705Z,90
2024-03-16T21:13:06.812653399Z,88
2024-03-16T21:13:07.464617464Z,90
2024-03-16T21:13:08.164672395Z,89
2024-03-16T21:13:08.676672603Z,87
2024-03-16T21:13:09.514345267Z,82
2024-03-16T21:13:10.140522963Z,78
2024-03-16T21:13:10.796575416Z,75
2024-03-16T21:13:11.454557816Z,77
2024-03-16T21:13:12.072541925Z,76
2024-03-16T21:13:12.692415759Z,87
2024-03-16T21:13:13.316603871Z,92
2024-03-16T21:13:14.576448528Z,94
2024-03-16T21:13:15.086445931Z,96
2024-03-16T21:13:15.596632125Z,106
2024-03-16T21:13:16.106689079Z,105
2024-03-16T21:13:17.80459719Z,104
2024-03-16T21:13:18.459379591Z,103
2024-03-16T21:13:19.866654696Z,102
2024-03-16T21:13:20.450712696Z,101
2024-03-16T21:13:21.186472333Z,100
2024-03-16T21:13:21.688667315Z,106
2024-03-16T21:13:22.208836709Z,119
2024-03-16T21:13:22.710798105Z,128
2024-03-16T21:13:23.256962044Z,125
2024-03-16T21:13:23.912757647Z,126
2024-03-16T21:13:25.280642749Z,125
2024-03-16T21:13:26.01429645Z,116
2024-03-16T21:13:26.666381012Z,109
2024-03-16T21:13:27.326614708Z,103
2024-03-16T21:13:28.044506196Z,95
2024-03-16T21:13:28.836555216Z,90
2024-03-16T21:13:29.537887937Z,85
2024-03-16T21:13:30.190764534Z,86
2024-03-16T21:13:31.592392055Z,85
2024-03-16T21:13:32.240514308Z,86
2024-03-16T21:13:32.760758492Z,90
2024-03-16T21:13:33.279036723Z,97
2024-03-16T21:13:33.90352219Z,102
2024-03-16T21:13:34.408498237Z,113
2024-03-16T21:13:34.92255325Z,116
2024-03-16T21:13:35.434684858Z,135
2024-03-16T21:13:35.942522215Z,162
2024-03-16T21:13:36.632410915Z,149
