time,value
2024-03-08T23:21:30.946982796Z,204
2024-03-08T23:21:31.473031566Z,210
2024-03-08T23:21:32.016970982Z,208
2024-03-08T23:21:32.543094906Z,210
2024-03-08T23:21:33.061308091Z,214
2024-03-08T23:21:33.597025279Z,216
2024-03-08T23:21:34.121025123Z,215
2024-03-08T23:21:35.443737666Z,168
2024-03-08T23:21:36.085899165Z,153
2024-03-08T23:21:36.617272813Z,149
2024-03-08T23:21:37.155319636Z,147
2024-03-08T23:21:37.689732903Z,151
2024-03-08T23:21:38.229437025Z,152
2024-03-08T23:21:38.769052191Z,188
2024-03-08T23:21:39.302775191Z,219
2024-03-08T23:21:39.829214257Z,225
2024-03-08T23:21:40.361200383Z,224
2024-03-08T23:21:40.897825196Z,221
2024-03-08T23:21:41.428920207Z,223
2024-03-08T23:21:41.973236007Z,227
2024-03-08T23:21:43.001076457Z,199
2024-03-08T23:21:43.533346584Z,190
2024-03-08T23:21:44.073011839Z,191
2024-03-08T23:21:44.609252033Z,190
2024-03-08T23:21:45.143114131Z,189
2024-03-08T23:21:45.674405599Z,188
2024-03-08T23:21:46.212075372Z,224
2024-03-08T23:21:46.75698451Z,226
2024-03-08T23:21:47.294992798Z,223
2024-03-08T23:21:50.866834444Z,217
2024-03-08T23:21:51.417251014Z,215
2024-03-08T23:21:51.945516964Z,217
2024-03-08T23:21:52.472821001Z,209
2024-03-08T23:21:53.013114061Z,210
2024-03-08T23:21:53.542925079Z,212
2024-03-08T23:21:54.087187135Z,216
2024-03-08T23:21:54.615012513Z,215
2024-03-08T23:21:55.146675043Z,226
2024-03-08T23:21:55.67501723Z,225
2024-03-08T23:21:56.382983318Z,224
2024-03-08T23:21:56.9191312Z,218
2024-03-08T23:21:57.458304851Z,222
2024-03-08T23:21:58.001588705Z,223
2024-03-08T23:21:59.369931179Z,169
2024-03-08T23:22:00.069779513Z,151
2024-03-08T23:22:00.591231993Z,147
2024-03-08T23:22:01.13718369Z,148
2024-03-08T23:22:01.67941333Z,147
2024-03-08T23:22:02.605253071Z,186
2024-03-08T23:22:03.131411499Z,215
2024-03-08T23:22:04.051213046Z,198
2024-03-08T23:22:04.583305081Z,194
2024-03-08T23:22:05.120042321Z,193
2024-03-08T23:22:05.990977632Z,191
2024-03-08T23:22:06.514616629Z,203
2024-03-08T23:22:07.047691743Z,207
2024-03-08T23:22:07.583032616Z,213
2024-03-08T23:22:08.118956759Z,204
2024-03-08T23:22:12.104917717Z,127
2024-03-08T23:22:12.636743672Z,133
2024-03-08T23:22:13.183135624Z,142
2024-03-08T23:22:13.721551183Z,156
2024-03-08T23:22:14.268865605Z,174
2024-03-08T23:22:14.802930513Z,198
2024-03-08T23:22:15.343016418Z,214
2024-03-08T23:22:15.87900381Z,222
2024-03-08T23:22:16.4173979Z,221
2024-03-08T23:22:16.961560401Z,223
2024-03-08T23:22:17.961436042Z,201
2024-03-08T23:22:18.494967744Z,193
2024-03-08T23:22:19.026857835Z,196
2024-03-08T23:22:19.573054567Z,198
2024-03-08T23:22:20.213147356Z,193
2024-03-08T23:22:20.743072828Z,188
2024-03-08T23:22:21.278835139Z,217
2024-03-08T23:22:22.102875623Z,218
2024-03-08T23:22:22.629315153Z,209
2024-03-08T23:22:23.158964199Z,215
2024-03-08T23:22:23.68292458Z,218
2024-03-08T23:22:25.257997677Z,217
2024-03-08T23:22:25.777237724Z,222
2024-03-08T23:22:26.316992476Z,207
2024-03-08T23:22:26.846258433Z,209
2024-03-08T23:22:27.385656631Z,204
2024-03-08T23:22:27.923412526Z,205
2024-03-08T23:22:28.457100312Z,212
