time,value
2024-04-22T20:03:40.584863366Z,190
2024-04-22T20:03:41.354324465Z,52
2024-04-22T20:03:41.904496807Z,55
2024-04-22T20:03:44.240708118Z,50
2024-04-22T20:03:45.646319097Z,48
2024-04-22T20:03:46.490636095Z,50
2024-04-22T20:03:47.042347917Z,52
2024-04-22T20:03:58.127629462Z,193
2024-04-22T20:03:58.641037517Z,187
2024-04-22T20:03:59.154908807Z,178
2024-04-22T20:04:00.172715634Z,142
2024-04-22T20:04:03.554705375Z,122
2024-04-22T20:04:09.894444898Z,38
2024-04-22T20:04:11.038336883Z,39
2024-04-22T20:04:11.89416227Z,41
2024-04-22T20:04:12.520580593Z,44
2024-04-22T20:04:13.024891107Z,48
2024-04-22T20:04:13.780348427Z,51
2024-04-22T20:04:14.32859981Z,56
2024-04-22T20:04:15.249556417Z,59
2024-04-22T20:04:15.792616356Z,66
2024-04-22T20:04:17.770876456Z,63
2024-04-22T20:04:18.988610791Z,66
2024-04-22T20:04:19.972368578Z,67
2024-04-22T20:04:20.557678955Z,69
2024-04-22T20:04:21.778954329Z,67
2024-04-22T20:04:22.360683599Z,70
2024-04-22T20:04:22.980437628Z,69
2024-04-22T20:04:23.605264887Z,71
2024-04-22T20:04:24.1342782Z,73
2024-04-22T20:04:24.654662247Z,109
2024-04-22T20:04:25.180405324Z,131
2024-04-22T20:04:25.68979764Z,141
2024-04-22T20:04:26.206518809Z,160
2024-04-22T20:04:26.724604154Z,161
2024-04-22T20:04:27.226226858Z,172
2024-04-22T20:04:27.760529812Z,169
2024-04-22T20:04:28.284606763Z,166
2024-04-22T20:04:28.810767916Z,171
2024-04-22T20:04:29.326343555Z,157
2024-04-22T20:04:29.832632877Z,163
2024-04-22T20:04:30.442505517Z,161
2024-04-22T20:04:31.104850149Z,150
2024-04-22T20:04:31.75268166Z,140
2024-04-22T20:04:32.380934518Z,132
2024-04-22T20:04:33.036827081Z,122
2024-04-22T20:04:33.656407608Z,114
2024-04-22T20:04:34.312816341Z,105
2024-04-22T20:04:34.98259442Z,104
2024-04-22T20:04:35.578969303Z,100
2024-04-22T20:04:36.19850504Z,94
2024-04-22T20:04:36.89252482Z,93
2024-04-22T20:04:37.6207684Z,92
2024-04-22T20:04:38.928430023Z,91
2024-04-22T20:04:39.579649338Z,92
2024-04-22T20:04:40.918568597Z,91
2024-04-22T20:04:41.628446618Z,90
2024-04-22T20:04:42.334683067Z,88
2024-04-22T20:04:43.064489631Z,87
2024-04-22T20:04:43.840468873Z,86
2024-04-22T20:04:45.286922095Z,85
2024-04-22T20:04:46.66245217Z,84
2024-04-22T20:04:47.365080204Z,83
2024-04-22T20:04:48.746279037Z,84
2024-04-22T20:04:49.368702327Z,85
2024-04-22T20:04:49.998369322Z,87
2024-04-22T20:04:50.622770504Z,88
2024-04-22T20:04:51.258785105Z,89
2024-04-22T20:04:52.11091166Z,88
2024-04-22T20:04:52.984608461Z,85
2024-04-22T20:04:53.862847219Z,83
2024-04-22T20:04:54.667641244Z,82
2024-04-22T20:04:55.481118952Z,81
2024-04-22T20:04:56.315111667Z,79
2024-04-22T20:04:57.097870915Z,77
2024-04-22T20:04:57.849808307Z,76
2024-04-22T20:04:58.574390812Z,75
2024-04-22T20:04:59.311546716Z,74
2024-04-22T20:05:00.030450086Z,75
2024-04-22T20:05:00.836345549Z,76
2024-04-22T20:05:01.613110551Z,77
2024-04-22T20:05:02.390328163Z,78
2024-04-22T20:05:06.314363369Z,77
2024-04-22T20:05:07.918484806Z,76
2024-04-22T20:05:11.082213635Z,75
2024-04-22T20:05:12.674449013Z,76
2024-04-22T20:05:13.438315344Z,75
2024-04-22T20:05:15.168441838Z,74
2024-04-22T20:05:16.754720663Z,75
2024-04-22T20:05:18.323967155Z,74
2024-04-22T20:05:19.918148717Z,75
2024-04-22T20:05:20.714612621Z,74
2024-04-22T20:05:21.450150639Z,75
2024-04-22T20:05:22.977738163Z,76
2024-04-22T20:05:24.666268246Z,75
2024-04-22T20:05:26.982204281Z,76
2024-04-22T20:05:27.70998857Z,77
2024-04-22T20:05:29.128272938Z,78
2024-04-22T20:05:30.520250811Z,79
2024-04-22T20:05:31.178892673Z,81
2024-04-22T20:05:31.918630815Z,83
2024-04-22T20:05:32.622600546Z,84
2024-04-22T20:05:34.938274363Z,83
2024-04-22T20:05:35.79197287Z,81
2024-04-22T20:05:36.600551682Z,80
2024-04-22T20:05:38.114661899Z,79
2024-04-22T20:05:38.894246002Z,78
2024-04-22T20:05:39.628176384Z,77
2024-04-22T20:05:43.384082416Z,78
2024-04-22T20:05:44.124191463Z,79
2024-04-22T20:05:44.863905883Z,80
2024-04-22T20:05:46.462610218Z,79
2024-04-22T20:05:47.978132681Z,78
2024-04-22T20:05:48.750069813Z,79
2024-04-22T20:05:49.456321349Z,80
2024-04-22T20:05:50.83242891Z,81
2024-04-22T20:05:51.558187401Z,80
2024-04-22T20:05:52.286197795Z,81
2024-04-22T20:05:53.736415019Z,82
2024-04-22T20:05:55.314677864Z,81
2024-04-22T20:05:56.082076573Z,82
2024-04-22T20:05:56.814488278Z,81
2024-04-22T20:05:58.308140389Z,80
2024-04-22T20:05:59.808596509Z,79
2024-04-22T20:06:01.384090246Z,78
2024-04-22T20:06:04.558234658Z,77
2024-04-22T20:06:09.108466482Z,78
2024-04-22T20:06:11.318828128Z,79
2024-04-22T20:06:12.05416109Z,80
2024-04-22T20:06:15.047218986Z,81
2024-04-22T20:06:15.826187137Z,80
2024-04-22T20:06:26.362444769Z,79
2024-04-22T20:06:27.190863518Z,78
2024-04-22T20:06:29.515981569Z,77
2024-04-22T20:06:30.93414184Z,78
2024-04-22T20:06:31.632188394Z,79
2024-04-22T20:06:32.338344294Z,80
2024-04-22T20:06:33.752226308Z,81
2024-04-22T20:06:34.457166948Z,82
2024-04-22T20:06:35.204354935Z,83
2024-04-22T20:06:36.656581244Z,84
2024-04-22T20:06:38.820383945Z,83
2024-04-22T20:06:40.168131061Z,84
