date,time,value
2024-03-16,21:22:08,70.0
2024-03-16,21:22:09,71.0
2024-03-16,21:22:10,69.0
2024-03-16,21:22:11,71.0
2024-03-16,21:22:11,72.0
2024-03-16,21:22:13,74.0
2024-03-16,21:22:14,76.0
2024-03-16,21:22:14,79.0
2024-03-16,21:22:15,85.0
2024-03-16,21:22:15,94.0
2024-03-16,21:22:16,89.0
2024-03-16,21:22:16,93.0
2024-03-16,21:22:17,92.0
2024-03-16,21:22:18,91.0
2024-03-16,21:22:20,89.0
2024-03-16,21:22:21,87.0
2024-03-16,21:22:22,81.0
2024-03-16,21:22:23,76.0
2024-03-16,21:22:23,77.0
2024-03-16,21:22:24,75.0
2024-03-16,21:22:25,74.0
2024-03-16,21:22:26,75.0
2024-03-16,21:22:28,74.0
2024-03-16,21:22:29,73.0
2024-03-16,21:22:30,74.0
2024-03-16,21:22:31,73.0
2024-03-16,21:22:32,75.0
2024-03-16,21:22:33,77.0
2024-03-16,21:22:34,75.0
2024-03-16,21:22:35,74.0
2024-03-16,21:22:38,72.0
2024-03-16,21:22:39,73.0
2024-03-16,21:22:40,74.0
2024-03-16,21:22:41,73.0
2024-03-16,21:22:42,75.0
2024-03-16,21:22:43,76.0
2024-03-16,21:22:44,73.0
2024-03-16,21:22:45,72.0
2024-03-16,21:22:46,71.0
2024-03-16,21:22:46,73.0
2024-03-16,21:22:47,74.0
2024-03-16,21:22:48,73.0
2024-03-16,21:22:49,74.0
2024-03-16,21:22:50,72.0
2024-03-16,21:22:51,70.0
2024-03-16,21:22:52,72.0
2024-03-16,21:22:53,74.0
2024-03-16,21:22:54,73.0
2024-03-16,21:22:57,72.0
2024-03-16,21:22:57,74.0
2024-03-16,21:22:58,81.0
2024-03-16,21:22:59,77.0
2024-03-16,21:23:01,76.0
2024-03-16,21:23:01,77.0
2024-03-16,21:23:04,79.0
2024-03-16,21:23:05,77.0
2024-03-16,21:23:06,73.0
2024-03-16,21:23:07,76.0
2024-03-16,21:23:08,75.0
2024-03-16,21:23:09,76.0
2024-03-16,21:23:11,75.0
2024-03-16,21:23:12,76.0
2024-03-16,21:23:13,75.0
2024-03-16,21:23:16,76.0
2024-03-16,21:23:17,74.0
2024-03-16,21:23:20,75.0
2024-03-16,21:23:21,72.0
2024-03-16,21:23:22,71.0
2024-03-16,21:23:23,73.0
2024-03-16,21:23:25,72.0
2024-03-16,21:23:26,73.0
2024-03-16,21:23:45,73.0
2024-03-16,21:23:45,74.0
2024-03-16,21:23:47,75.0
2024-03-16,21:23:48,72.0
2024-03-16,21:23:49,71.0
2024-03-16,21:23:49,72.0
2024-03-16,21:23:50,74.0
2024-03-16,21:23:52,75.0
2024-03-16,21:23:53,76.0
2024-03-16,21:23:54,77.0
2024-03-16,21:23:55,81.0
2024-03-16,21:23:56,84.0
2024-03-16,21:23:56,86.0
2024-03-16,21:23:58,88.0
2024-03-16,21:24:00,87.0
2024-03-16,21:24:02,86.0
2024-03-16,21:24:03,85.0
2024-03-16,21:24:08,84.0
2024-03-16,21:24:09,81.0
2024-03-16,21:24:10,80.0
2024-03-16,21:24:12,81.0
2024-03-16,21:24:13,80.0
2024-03-16,21:24:14,79.0
2024-03-16,21:24:15,80.0
2024-03-16,21:24:15,79.0
2024-03-16,21:24:16,83.0
2024-03-16,21:24:16,90.0
2024-03-16,21:24:17,103.0
2024-03-16,21:24:17,108.0
2024-03-16,21:24:18,129.0
2024-03-16,21:24:18,132.0
2024-03-16,21:24:19,124.0
2024-03-16,21:24:20,121.0
2024-03-16,21:24:21,115.0
2024-03-16,21:24:22,107.0
2024-03-16,21:24:22,101.0
2024-03-16,21:24:23,94.0
2024-03-16,21:24:24,91.0
2024-03-16,21:24:24,85.0
2024-03-16,21:24:25,79.0
2024-03-16,21:24:27,82.0
2024-03-16,21:24:27,84.0
2024-03-16,21:24:29,81.0
2024-03-16,21:24:30,80.0
2024-03-16,21:24:32,79.0
2024-03-16,21:24:33,78.0
2024-03-16,21:24:35,76.0
2024-03-16,21:24:36,75.0
2024-03-16,21:24:37,77.0
2024-03-16,21:24:39,75.0
2024-03-16,21:24:40,76.0
2024-03-16,21:24:41,77.0
2024-03-16,21:24:41,78.0
2024-03-16,21:24:43,79.0
2024-03-16,21:24:43,80.0
2024-03-16,21:24:45,76.0
2024-03-16,21:24:46,74.0
2024-03-16,21:24:47,75.0
2024-03-16,21:24:49,73.0
2024-03-16,21:24:50,71.0
2024-03-16,21:24:52,72.0
2024-03-16,21:24:52,73.0
2024-03-16,21:24:53,78.0
2024-03-16,21:24:54,81.0
2024-03-16,21:24:54,83.0
2024-03-16,21:24:55,84.0
2024-03-16,21:24:57,86.0
2024-03-16,21:24:57,87.0
2024-03-16,21:24:59,86.0
2024-03-16,21:25:00,85.0
2024-03-16,21:25:01,83.0
2024-03-16,21:25:02,82.0
2024-03-16,21:25:06,83.0
2024-03-16,21:25:08,84.0
2024-03-16,21:25:09,81.0
2024-03-16,21:25:10,80.0
2024-03-16,21:25:11,79.0
2024-03-16,21:25:13,78.0
2024-03-16,21:25:14,77.0
2024-03-16,21:25:15,76.0
2024-03-16,21:25:16,80.0
2024-03-16,21:25:17,81.0
2024-03-16,21:25:18,79.0
2024-03-16,21:25:19,78.0
2024-03-16,21:25:20,77.0
2024-03-16,21:25:23,75.0
2024-03-16,21:25:24,73.0
2024-03-16,21:25:25,74.0
2024-03-16,21:25:25,77.0
2024-03-16,21:25:26,83.0
2024-03-16,21:25:26,97.0
2024-03-16,21:25:27,104.0
2024-03-16,21:25:27,120.0
2024-03-16,21:25:28,134.0
2024-03-16,21:25:28,154.0
2024-03-16,21:25:29,162.0
2024-03-16,21:25:29,148.0
2024-03-16,21:25:30,135.0
2024-03-16,21:25:31,123.0
2024-03-16,21:25:31,115.0
2024-03-16,21:25:32,105.0
2024-03-16,21:25:33,99.0
2024-03-16,21:25:34,92.0
2024-03-16,21:25:34,88.0
2024-03-16,21:25:35,83.0
2024-03-16,21:25:36,79.0
2024-03-16,21:25:37,80.0
2024-03-16,21:25:39,82.0
2024-03-16,21:25:39,83.0
2024-03-16,21:25:40,85.0
2024-03-16,21:25:41,86.0
2024-03-16,21:25:43,85.0
2024-03-16,21:25:44,82.0
2024-03-16,21:25:45,80.0
2024-03-16,21:25:47,79.0
2024-03-16,21:25:50,80.0
2024-03-16,21:25:52,82.0
2024-03-16,21:25:53,83.0
2024-03-16,21:25:53,84.0
2024-03-16,21:25:54,85.0
2024-03-16,21:25:56,82.0
2024-03-16,21:25:57,80.0
2024-03-16,21:25:58,81.0
2024-03-16,21:25:58,83.0
2024-03-16,21:25:59,81.0
2024-03-16,21:26:00,78.0
2024-03-16,21:26:01,75.0
2024-03-16,21:26:02,74.0
2024-03-16,21:26:03,73.0
2024-03-16,21:26:05,72.0
2024-03-16,21:26:06,71.0
2024-03-16,21:26:10,70.0
2024-03-16,21:26:11,69.0
2024-03-16,21:26:11,68.0
2024-03-16,21:26:13,69.0
2024-03-16,21:26:18,70.0
2024-03-16,21:26:21,71.0
2024-03-16,21:26:21,70.0
2024-03-16,21:26:22,72.0
2024-03-16,21:26:23,73.0
2024-03-16,21:26:24,71.0
2024-03-16,21:26:27,73.0
2024-03-16,21:26:27,74.0
2024-03-16,21:26:29,73.0
2024-03-16,21:26:30,74.0
2024-03-16,21:26:31,70.0
2024-03-16,21:26:33,71.0
2024-03-16,21:26:34,72.0
2024-03-16,21:26:36,70.0
2024-03-16,21:26:38,69.0
2024-03-16,21:26:39,68.0
2024-03-16,21:26:40,70.0
2024-03-16,21:26:41,71.0
2024-03-16,21:26:42,70.0
2024-03-16,21:26:43,71.0
2024-03-16,21:26:46,70.0
2024-03-16,21:26:47,71.0
2024-03-16,21:26:47,72.0
2024-03-16,21:26:49,71.0
2024-03-16,21:26:52,72.0
2024-03-16,21:26:54,74.0
2024-03-16,21:26:55,75.0
2024-03-16,21:26:56,73.0
2024-03-16,21:26:57,72.0
2024-03-16,21:26:57,73.0
2024-03-16,21:26:58,74.0
2024-03-16,21:27:00,75.0
2024-03-16,21:27:01,76.0
2024-03-16,21:27:03,75.0
2024-03-16,21:27:04,76.0
2024-03-16,21:27:05,78.0
2024-03-16,21:27:07,77.0
2024-03-16,21:27:09,74.0
2024-03-16,21:27:10,72.0
2024-03-16,21:27:11,71.0
2024-03-16,21:27:12,72.0
2024-03-16,21:27:14,71.0
2024-03-16,21:27:17,69.0
2024-03-16,21:27:20,70.0
2024-03-16,21:27:20,69.0
2024-03-16,21:27:21,68.0
2024-03-16,21:27:22,67.0
2024-03-16,21:27:23,68.0
2024-03-16,21:27:25,67.0
2024-03-16,21:27:26,69.0
2024-03-16,21:27:28,70.0
2024-03-16,21:27:29,72.0
2024-03-16,21:27:31,71.0
2024-03-16,21:27:32,70.0
2024-03-16,21:27:33,69.0
2024-03-16,21:27:34,68.0
2024-03-16,21:27:35,69.0
2024-03-16,21:27:36,71.0
2024-03-16,21:27:37,69.0
2024-03-16,21:27:38,67.0
2024-03-16,21:27:38,68.0
2024-03-16,21:27:39,71.0
2024-03-16,21:27:41,70.0
2024-03-16,21:27:43,71.0
2024-03-16,21:27:45,73.0
2024-03-16,21:27:46,75.0
2024-03-16,21:27:47,73.0
2024-03-16,21:27:48,72.0
2024-03-16,21:27:49,75.0
2024-03-16,21:27:50,77.0
2024-03-16,21:27:50,78.0
2024-03-16,21:27:52,79.0
2024-03-16,21:27:53,83.0
2024-03-16,21:27:53,93.0
2024-03-16,21:27:54,96.0
2024-03-16,21:27:55,97.0
2024-03-16,21:27:55,95.0
