date,time,value
2024-03-09,18:34:00,44
2024-03-09,18:34:01,46
2024-03-09,18:34:01,50
2024-03-09,18:34:02,60
2024-03-09,18:34:02,77
2024-03-09,18:34:03,108
2024-03-09,18:34:03,176
2024-03-09,18:34:04,229
2024-03-09,18:34:04,231
2024-03-09,18:34:25,154
2024-03-09,18:34:25,166
2024-03-09,18:34:26,179
2024-03-09,18:34:26,193
2024-03-09,18:34:27,211
2024-03-09,18:34:28,232
2024-03-09,18:34:28,231
2024-03-09,18:35:10,231
2024-03-09,18:35:11,91
2024-03-09,18:35:11,102
2024-03-09,18:35:12,151
2024-03-09,18:35:12,200
2024-03-09,18:35:13,213
2024-03-09,18:35:13,225
2024-03-09,18:35:14,226
2024-03-09,18:35:14,225
2024-03-09,18:35:15,224
2024-03-09,18:35:15,227
2024-03-09,18:35:16,225
2024-03-09,18:35:16,224
2024-03-09,18:35:17,215
2024-03-09,18:35:19,162
2024-03-09,18:35:19,145
2024-03-09,18:35:20,141
2024-03-09,18:35:20,140
2024-03-09,18:35:21,131
2024-03-09,18:35:21,130
2024-03-09,18:35:22,133
2024-03-09,18:35:23,163
2024-03-09,18:35:23,191
2024-03-09,18:35:24,207
2024-03-09,18:35:24,216
2024-03-09,18:35:25,223
2024-03-09,18:35:26,224
2024-03-09,18:35:26,221
2024-03-09,18:35:27,217
2024-03-09,18:35:27,216
2024-03-09,18:35:28,213
2024-03-09,18:35:28,212
2024-03-09,18:35:29,220
2024-03-09,18:35:29,225
2024-03-09,18:35:30,226
2024-03-09,18:35:31,219
2024-03-09,18:35:31,217
2024-03-09,18:35:32,208
2024-03-09,18:35:32,204
2024-03-09,18:35:33,207
2024-03-09,18:35:33,209
2024-03-09,18:35:34,204
2024-03-09,18:35:34,213
2024-03-09,18:35:35,215
2024-03-09,18:35:35,211
2024-03-09,18:35:36,213
2024-03-09,18:35:37,209
2024-03-09,18:35:37,211
2024-03-09,18:35:38,204
2024-03-09,18:35:38,199
2024-03-09,18:35:39,200
2024-03-09,18:35:39,194
2024-03-09,18:35:40,199
2024-03-09,18:35:40,208
2024-03-09,18:35:41,204
2024-03-09,18:35:41,211
2024-03-09,18:35:42,230
2024-03-09,18:35:43,228
2024-03-09,18:35:43,226
2024-03-09,18:35:44,218
2024-03-09,18:35:44,208
2024-03-09,18:35:45,205
2024-03-09,18:35:45,206
2024-03-09,18:35:46,202
2024-03-09,18:35:46,212
2024-03-09,18:35:47,224
2024-03-09,18:35:47,226
2024-03-09,18:35:48,227
2024-03-09,18:35:48,231
2024-03-09,18:35:49,229
2024-03-09,18:35:49,226
2024-03-09,18:35:50,229
2024-03-09,18:35:51,226
2024-03-09,18:35:52,188
2024-03-09,18:35:52,175
2024-03-09,18:35:53,172
2024-03-09,18:35:53,168
2024-03-09,18:35:54,165
2024-03-09,18:35:54,166
2024-03-09,18:35:55,194
2024-03-09,18:35:55,213
2024-03-09,18:35:56,221
2024-03-09,18:35:57,223
2024-03-09,18:35:57,224
2024-03-09,18:36:00,130
2024-03-09,18:36:01,106
2024-03-09,18:36:02,90
2024-03-09,18:36:03,83
2024-03-09,18:36:05,70
2024-03-09,18:36:06,64
2024-03-09,18:36:09,222
2024-03-09,18:36:09,223
2024-03-09,18:36:10,207
2024-03-09,18:36:11,210
2024-03-09,18:36:11,211
2024-03-09,18:36:12,212
2024-03-09,18:36:12,209
2024-03-09,18:36:13,227
2024-03-09,18:36:13,222
2024-03-09,18:36:14,223
2024-03-09,18:36:14,224
2024-03-09,18:36:16,182
2024-03-09,18:36:16,168
2024-03-09,18:36:21,96
2024-03-09,18:36:21,100
2024-03-09,18:36:22,113
2024-03-09,18:36:22,131
2024-03-09,18:36:23,155
2024-03-09,18:36:23,189
2024-03-09,18:36:24,223
2024-03-09,18:36:24,227
2024-03-09,18:36:25,226
2024-03-09,18:36:25,227
2024-03-09,18:36:26,228
2024-03-09,18:36:29,124
2024-03-09,18:36:30,98
2024-03-09,18:36:34,214
2024-03-09,18:36:34,216
2024-03-09,18:36:35,203
2024-03-09,18:36:35,207
2024-03-09,18:36:36,209
2024-03-09,18:36:36,213
2024-03-09,18:36:38,181
2024-03-09,18:36:38,167
2024-03-09,18:36:39,162
2024-03-09,18:36:39,160
2024-03-09,18:36:40,159
2024-03-09,18:36:40,158
2024-03-09,18:36:41,191
2024-03-09,18:36:41,219
2024-03-09,18:36:42,224
2024-03-09,18:36:42,225
2024-03-09,18:36:43,224
2024-03-09,18:36:43,228
